2026-09-09T00:42:38.855877100Z [WI5-FIXTURE] READY tick=0 markerRoot=C:\Users\Ian\AppData\Roaming\PrismLauncher\instances\lss-astra-validation-neoforge-1.21.1\minecraft hooks=Minecraft.tick.HEAD/catalog.setter/SaveHook.run
2026-09-09T00:43:14.092950300Z [WI5-FIXTURE] ARMED tick=715 receive=true enabled=false sessionConfig=false version=0 manager=0 received=0 decodeQueued=0 XaeroMap: state=active, queued=0, written=0, skipped_native=0, defer_events=0, dropped=0, dropped_overflow=0, dropped_stale=0, dropped_expired=0, commit_failures=0, load_requests=0, regions_waiting=0, buffer_updates=0, frame_flushes=0, rebuild_ms=0, rebuild_max_us=0, pending_updates=0, dropped_updates=0, dropped_unloaded=0, skipped_settings=0, cave_layer_waits=0, drops_reported=0, owed=0, owed_regions=0, owed_reported=0, owed_evicted=0, bp=-1(inactive)
2026-09-09T00:43:16.830900800Z [WI5-FIXTURE] PRECONDITION tick=758 nativeWorld=839883584 connection=2112528377 xaeroWorld=Multiplayer_..1 subKey=Optional[world-07f476339e08515f] receive=true enabled=true sessionConfig=true version=20 manager=58095987 received=2 decodeQueued=0 XaeroMap: state=active, queued=1, written=1, skipped_native=0, defer_events=10, dropped=0, dropped_overflow=0, dropped_stale=0, dropped_expired=0, commit_failures=0, load_requests=1, regions_waiting=0, buffer_updates=0, frame_flushes=0, rebuild_ms=0, rebuild_max_us=0, pending_updates=1, dropped_updates=0, dropped_unloaded=0, skipped_settings=0, cave_layer_waits=0, drops_reported=0, owed=0, owed_regions=0, owed_reported=0, owed_evicted=0, bp=0.00
2026-09-09T00:43:16.833900400Z [WI5-FIXTURE] AFTER_OFF tick=758 receive=false enabled=true sessionConfig=true version=20 manager=0 received=2 decodeQueued=0 XaeroMap: state=active, queued=0, written=1, skipped_native=0, defer_events=10, dropped=0, dropped_overflow=0, dropped_stale=0, dropped_expired=0, commit_failures=0, load_requests=1, regions_waiting=0, buffer_updates=0, frame_flushes=0, rebuild_ms=0, rebuild_max_us=0, pending_updates=1, dropped_updates=0, dropped_unloaded=0, skipped_settings=0, cave_layer_waits=0, drops_reported=0, owed=0, owed_regions=0, owed_reported=0, owed_evicted=0, bp=0.00
2026-09-09T00:43:18.829698200Z [WI5-FIXTURE] OFF_NATIVE_REBUILDS_DRAINED tick=798 receive=false enabled=true sessionConfig=true version=20 manager=0 received=2 decodeQueued=0 XaeroMap: state=active, queued=0, written=1, skipped_native=0, defer_events=10, dropped=0, dropped_overflow=0, dropped_stale=0, dropped_expired=0, commit_failures=0, load_requests=1, regions_waiting=0, buffer_updates=0, frame_flushes=1, rebuild_ms=0, rebuild_max_us=0, pending_updates=0, dropped_updates=0, dropped_unloaded=0, skipped_settings=0, cave_layer_waits=0, drops_reported=0, owed=0, owed_regions=0, owed_reported=0, owed_evicted=0, bp=0.00
2026-09-09T00:43:18.929375800Z [WI5-FIXTURE] OFF_OBSERVE tick=800 receive=false enabled=true sessionConfig=true version=20 manager=0 received=2 decodeQueued=0 XaeroMap: state=active, queued=0, written=1, skipped_native=0, defer_events=10, dropped=0, dropped_overflow=0, dropped_stale=0, dropped_expired=0, commit_failures=0, load_requests=1, regions_waiting=0, buffer_updates=0, frame_flushes=1, rebuild_ms=0, rebuild_max_us=0, pending_updates=0, dropped_updates=0, dropped_unloaded=0, skipped_settings=0, cave_layer_waits=0, drops_reported=0, owed=0, owed_regions=0, owed_reported=0, owed_evicted=0, bp=0.00
2026-09-09T00:43:23.928946600Z [WI5-FIXTURE] OFF_OBSERVE tick=900 receive=false enabled=true sessionConfig=true version=20 manager=0 received=2 decodeQueued=0 XaeroMap: state=active, queued=0, written=1, skipped_native=0, defer_events=10, dropped=0, dropped_overflow=0, dropped_stale=0, dropped_expired=0, commit_failures=0, load_requests=1, regions_waiting=0, buffer_updates=0, frame_flushes=1, rebuild_ms=0, rebuild_max_us=0, pending_updates=0, dropped_updates=0, dropped_unloaded=0, skipped_settings=0, cave_layer_waits=0, drops_reported=0, owed=0, owed_regions=0, owed_reported=0, owed_evicted=0, bp=0.00
2026-09-09T00:43:28.929218Z [WI5-FIXTURE] OFF_OBSERVE tick=1000 receive=false enabled=true sessionConfig=true version=20 manager=0 received=2 decodeQueued=0 XaeroMap: state=active, queued=0, written=1, skipped_native=0, defer_events=10, dropped=0, dropped_overflow=0, dropped_stale=0, dropped_expired=0, commit_failures=0, load_requests=1, regions_waiting=0, buffer_updates=0, frame_flushes=1, rebuild_ms=0, rebuild_max_us=0, pending_updates=0, dropped_updates=0, dropped_unloaded=0, skipped_settings=0, cave_layer_waits=0, drops_reported=0, owed=0, owed_regions=0, owed_reported=0, owed_evicted=0, bp=0.00
2026-09-09T00:43:33.929633200Z [WI5-FIXTURE] OFF_OBSERVE tick=1100 receive=false enabled=true sessionConfig=true version=20 manager=0 received=2 decodeQueued=0 XaeroMap: state=active, queued=0, written=1, skipped_native=0, defer_events=10, dropped=0, dropped_overflow=0, dropped_stale=0, dropped_expired=0, commit_failures=0, load_requests=1, regions_waiting=0, buffer_updates=0, frame_flushes=1, rebuild_ms=0, rebuild_max_us=0, pending_updates=0, dropped_updates=0, dropped_unloaded=0, skipped_settings=0, cave_layer_waits=0, drops_reported=0, owed=0, owed_regions=0, owed_reported=0, owed_evicted=0, bp=0.00
2026-09-09T00:43:38.829877600Z [WI5-FIXTURE] BEFORE_ON tick=1198 offMillis=21994 receive=false enabled=true sessionConfig=true version=20 manager=0 received=2 decodeQueued=0 XaeroMap: state=active, queued=0, written=1, skipped_native=0, defer_events=10, dropped=0, dropped_overflow=0, dropped_stale=0, dropped_expired=0, commit_failures=0, load_requests=1, regions_waiting=0, buffer_updates=0, frame_flushes=1, rebuild_ms=0, rebuild_max_us=0, pending_updates=0, dropped_updates=0, dropped_unloaded=0, skipped_settings=0, cave_layer_waits=0, drops_reported=0, owed=0, owed_regions=0, owed_reported=0, owed_evicted=0, bp=0.00
2026-09-09T00:43:38.831879400Z [WI5-FIXTURE] AFTER_ON tick=1198 receive=true enabled=true sessionConfig=false version=20 manager=0 received=2 decodeQueued=0 XaeroMap: state=active, queued=0, written=1, skipped_native=0, defer_events=10, dropped=0, dropped_overflow=0, dropped_stale=0, dropped_expired=0, commit_failures=0, load_requests=1, regions_waiting=0, buffer_updates=0, frame_flushes=1, rebuild_ms=0, rebuild_max_us=0, pending_updates=0, dropped_updates=0, dropped_unloaded=0, skipped_settings=0, cave_layer_waits=0, drops_reported=0, owed=0, owed_regions=0, owed_reported=0, owed_evicted=0, bp=0.00
2026-09-09T00:43:38.929888200Z [WI5-FIXTURE] ON_NEGOTIATED_AWAIT_WRITES tick=1200 receive=true enabled=true sessionConfig=true version=20 manager=848936620 received=2 decodeQueued=0 XaeroMap: state=active, queued=0, written=1, skipped_native=0, defer_events=10, dropped=0, dropped_overflow=0, dropped_stale=0, dropped_expired=0, commit_failures=0, load_requests=1, regions_waiting=0, buffer_updates=0, frame_flushes=1, rebuild_ms=0, rebuild_max_us=0, pending_updates=0, dropped_updates=0, dropped_unloaded=0, skipped_settings=0, cave_layer_waits=0, drops_reported=0, owed=0, owed_regions=0, owed_reported=0, owed_evicted=0, bp=0.00
