2026-09-09T00:40:03.795813400Z [WI5-FIXTURE] READY tick=0 markerRoot=C:\Users\Ian\AppData\Roaming\PrismLauncher\instances\lss-astra-validation-fabric-1.21.1\minecraft hooks=Minecraft.tick.HEAD/catalog.setter/SaveHook.run
2026-09-09T00:40:26.916373500Z [WI5-FIXTURE] ARMED tick=472 receive=true enabled=false sessionConfig=false version=0 manager=0 received=0 decodeQueued=0 XaeroMap: state=active, queued=0, written=0, skipped_native=0, defer_events=0, dropped=0, dropped_overflow=0, dropped_stale=0, dropped_expired=0, commit_failures=0, load_requests=0, regions_waiting=0, buffer_updates=0, frame_flushes=0, rebuild_ms=0, rebuild_max_us=0, pending_updates=0, dropped_updates=0, dropped_unloaded=0, skipped_settings=0, cave_layer_waits=0, drops_reported=0, owed=0, owed_regions=0, owed_reported=0, owed_evicted=0, bp=-1(inactive)
2026-09-09T00:40:30.547035200Z [WI5-FIXTURE] PRECONDITION tick=526 nativeWorld=539517535 connection=1805800828 xaeroWorld=Multiplayer_..1 subKey=Optional[world-07f476339e08515f] receive=true enabled=true sessionConfig=true version=20 manager=1256025961 received=2 decodeQueued=0 XaeroMap: state=active, queued=1, written=1, skipped_native=0, defer_events=8, dropped=0, dropped_overflow=0, dropped_stale=0, dropped_expired=0, commit_failures=0, load_requests=1, regions_waiting=0, buffer_updates=0, frame_flushes=0, rebuild_ms=0, rebuild_max_us=0, pending_updates=1, dropped_updates=0, dropped_unloaded=0, skipped_settings=0, cave_layer_waits=0, drops_reported=0, owed=0, owed_regions=0, owed_reported=0, owed_evicted=0, bp=0.00
2026-09-09T00:40:30.551433500Z [WI5-FIXTURE] AFTER_OFF tick=526 receive=false enabled=true sessionConfig=true version=20 manager=0 received=2 decodeQueued=0 XaeroMap: state=active, queued=0, written=1, skipped_native=0, defer_events=8, dropped=0, dropped_overflow=0, dropped_stale=0, dropped_expired=0, commit_failures=0, load_requests=1, regions_waiting=0, buffer_updates=0, frame_flushes=0, rebuild_ms=0, rebuild_max_us=0, pending_updates=1, dropped_updates=0, dropped_unloaded=0, skipped_settings=0, cave_layer_waits=0, drops_reported=0, owed=0, owed_regions=0, owed_reported=0, owed_evicted=0, bp=0.00
2026-09-09T00:40:32.094427300Z [WI5-FIXTURE] OFF_NATIVE_REBUILDS_DRAINED tick=557 receive=false enabled=true sessionConfig=true version=20 manager=0 received=2 decodeQueued=0 XaeroMap: state=active, queued=0, written=1, skipped_native=0, defer_events=8, dropped=0, dropped_overflow=0, dropped_stale=0, dropped_expired=0, commit_failures=0, load_requests=1, regions_waiting=0, buffer_updates=0, frame_flushes=1, rebuild_ms=0, rebuild_max_us=0, pending_updates=0, dropped_updates=0, dropped_unloaded=0, skipped_settings=0, cave_layer_waits=0, drops_reported=0, owed=0, owed_regions=0, owed_reported=0, owed_evicted=0, bp=0.00
2026-09-09T00:40:34.244399600Z [WI5-FIXTURE] OFF_OBSERVE tick=600 receive=false enabled=true sessionConfig=true version=20 manager=0 received=2 decodeQueued=0 XaeroMap: state=active, queued=0, written=1, skipped_native=0, defer_events=8, dropped=0, dropped_overflow=0, dropped_stale=0, dropped_expired=0, commit_failures=0, load_requests=1, regions_waiting=0, buffer_updates=0, frame_flushes=1, rebuild_ms=0, rebuild_max_us=0, pending_updates=0, dropped_updates=0, dropped_unloaded=0, skipped_settings=0, cave_layer_waits=0, drops_reported=0, owed=0, owed_regions=0, owed_reported=0, owed_evicted=0, bp=0.00
2026-09-09T00:40:39.245004800Z [WI5-FIXTURE] OFF_OBSERVE tick=700 receive=false enabled=true sessionConfig=true version=20 manager=0 received=2 decodeQueued=0 XaeroMap: state=active, queued=0, written=1, skipped_native=0, defer_events=8, dropped=0, dropped_overflow=0, dropped_stale=0, dropped_expired=0, commit_failures=0, load_requests=1, regions_waiting=0, buffer_updates=0, frame_flushes=1, rebuild_ms=0, rebuild_max_us=0, pending_updates=0, dropped_updates=0, dropped_unloaded=0, skipped_settings=0, cave_layer_waits=0, drops_reported=0, owed=0, owed_regions=0, owed_reported=0, owed_evicted=0, bp=0.00
2026-09-09T00:40:44.244270100Z [WI5-FIXTURE] OFF_OBSERVE tick=800 receive=false enabled=true sessionConfig=true version=20 manager=0 received=2 decodeQueued=0 XaeroMap: state=active, queued=0, written=1, skipped_native=0, defer_events=8, dropped=0, dropped_overflow=0, dropped_stale=0, dropped_expired=0, commit_failures=0, load_requests=1, regions_waiting=0, buffer_updates=0, frame_flushes=1, rebuild_ms=0, rebuild_max_us=0, pending_updates=0, dropped_updates=0, dropped_unloaded=0, skipped_settings=0, cave_layer_waits=0, drops_reported=0, owed=0, owed_regions=0, owed_reported=0, owed_evicted=0, bp=0.00
2026-09-09T00:40:49.244598400Z [WI5-FIXTURE] OFF_OBSERVE tick=900 receive=false enabled=true sessionConfig=true version=20 manager=0 received=2 decodeQueued=0 XaeroMap: state=active, queued=0, written=1, skipped_native=0, defer_events=8, dropped=0, dropped_overflow=0, dropped_stale=0, dropped_expired=0, commit_failures=0, load_requests=1, regions_waiting=0, buffer_updates=0, frame_flushes=1, rebuild_ms=0, rebuild_max_us=0, pending_updates=0, dropped_updates=0, dropped_unloaded=0, skipped_settings=0, cave_layer_waits=0, drops_reported=0, owed=0, owed_regions=0, owed_reported=0, owed_evicted=0, bp=0.00
2026-09-09T00:40:54.245371400Z [WI5-FIXTURE] OFF_OBSERVE tick=1000 receive=false enabled=true sessionConfig=true version=20 manager=0 received=2 decodeQueued=0 XaeroMap: state=active, queued=0, written=1, skipped_native=0, defer_events=8, dropped=0, dropped_overflow=0, dropped_stale=0, dropped_expired=0, commit_failures=0, load_requests=1, regions_waiting=0, buffer_updates=0, frame_flushes=1, rebuild_ms=0, rebuild_max_us=0, pending_updates=0, dropped_updates=0, dropped_unloaded=0, skipped_settings=0, cave_layer_waits=0, drops_reported=0, owed=0, owed_regions=0, owed_reported=0, owed_evicted=0, bp=0.00
2026-09-09T00:40:55.146177Z [WI5-FIXTURE] BEFORE_ON tick=1018 offMillis=24592 receive=false enabled=true sessionConfig=true version=20 manager=0 received=2 decodeQueued=0 XaeroMap: state=active, queued=0, written=1, skipped_native=0, defer_events=8, dropped=0, dropped_overflow=0, dropped_stale=0, dropped_expired=0, commit_failures=0, load_requests=1, regions_waiting=0, buffer_updates=0, frame_flushes=1, rebuild_ms=0, rebuild_max_us=0, pending_updates=0, dropped_updates=0, dropped_unloaded=0, skipped_settings=0, cave_layer_waits=0, drops_reported=0, owed=0, owed_regions=0, owed_reported=0, owed_evicted=0, bp=0.00
2026-09-09T00:40:55.148680400Z [WI5-FIXTURE] AFTER_ON tick=1018 receive=true enabled=true sessionConfig=false version=20 manager=0 received=2 decodeQueued=0 XaeroMap: state=active, queued=0, written=1, skipped_native=0, defer_events=8, dropped=0, dropped_overflow=0, dropped_stale=0, dropped_expired=0, commit_failures=0, load_requests=1, regions_waiting=0, buffer_updates=0, frame_flushes=1, rebuild_ms=0, rebuild_max_us=0, pending_updates=0, dropped_updates=0, dropped_unloaded=0, skipped_settings=0, cave_layer_waits=0, drops_reported=0, owed=0, owed_regions=0, owed_reported=0, owed_evicted=0, bp=0.00
